,deflator inflation - forecast,deflator inflation - actual,nominal interest
1970-01-01,3.411097685658504,5.062287936201293,6.8975
1971-01-01,3.37396219749162,4.315079795384369,4.88
1972-01-01,3.5598151634434583,5.489079466232782,4.96
1973-01-01,4.261734028683173,9.026252932166523,7.3116666666666665
1974-01-01,6.520932304038007,9.217196526113103,8.181666666666667
1975-01-01,6.241995281429036,5.519474678420444,6.758333333333333
1976-01-01,5.964977994194198,6.199171397882464,5.8741666666666665
1977-01-01,5.942695436858858,7.011671402655351,6.088333333333334
1978-01-01,6.619892695006202,8.333770900062266,8.34
1979-01-01,7.874253759540539,9.047727854981558,10.665000000000001
1980-01-01,8.967090707964598,9.460918153533537,12.048333333333334
1981-01-01,8.252615265401019,6.176112303497905,14.778333333333334
1982-01-01,6.172243024519863,3.8937482585488237,12.275
1983-01-01,5.0783735323037815,3.6189815106960177,9.5725
1984-01-01,4.877094972067031,3.166265745054453,10.887500000000001
1985-01-01,4.127498649378714,2.0183486238532167,8.425833333333333
1986-01-01,3.052769297863067,2.4702490018708945,6.4624999999999995
1987-01-01,3.8461538461538325,3.525464564187253,6.764166666666667
1988-01-01,4.067133443163096,3.9276737135402806,7.6525
1989-01-01,4.358114770262289,3.7512464792428313,8.535
1990-01-01,4.123515439429948,3.375333549727899,7.8825
1991-01-01,3.3547204399633213,2.2762490417081116,5.858333333333333
1992-01-01,2.9613158266271533,2.372313703600337,3.8891666666666667
1993-01-01,2.855780705715394,2.1342888300358354,3.4341666666666666
1994-01-01,2.95307115846013,2.0996034167175104,5.31
1995-01-01,2.686204586055907,1.8282252582671799,5.948333333333333
1996-01-01,2.4840281636052453,1.7257125670753881,5.5125
1997-01-01,2.4376943400174156,1.1231458178592835,5.63
1998-01-01,2.0424970811232734,1.4137438003857916,5.051666666666667
1999-01-01,1.7402795197993148,2.2663188316117466,5.0775
2000-01-01,2.2103230337078505,2.2573503121647853,6.108333333333333
2001-01-01,2.0038280245679108,1.5522562685332808,3.480833333333333
2002-01-01,1.8826935366952569,1.9678535366075778,2.0016666666666665
2003-01-01,1.7732065095373395,2.6886450930035277,1.2441666666666666
2004-01-01,1.8902626169036374,3.13804224105223,1.8866666666666667
2005-01-01,2.161272738285125,3.0873223892950774,3.6183333333333336
2006-01-01,2.278858789015481,2.707894705539493,4.9325
2007-01-01,2.2337066590631727,1.9349589729632743,4.5216666666666665
2008-01-01,2.2002268005815617,0.6123869171885898,1.8225
2009-01-01,1.4125035993475477,1.2119552482771967,0.4708333333333334
2010-01-01,1.5529227106118038,2.0637966718175527,0.3183333333333333
2011-01-01,1.774888698654764,1.8641043089477671,0.18166666666666667
2012-01-01,1.8849301835959453,1.699603470571498,0.17500000000000002
2013-01-01,1.85550921951112,1.740316406775544,0.13166666666666668
2014-01-01,1.8865493657243215,0.9313758537179861,0.12083333333333333
2015-01-01,1.800908391329914,0.94872809293578,0.3216666666666667
2016-01-01,1.8768712465606185,1.7887726459533182,0.6141666666666666
2017-01-01,2.0133383805422067,2.292864643232151,1.2008333333333334
2018-01-01,2.1430333892857645,1.6490244432984413,2.3316666666666666
2019-01-01,2.008737354604495,1.318592539516894,2.0533333333333332
2020-01-01,1.6728082943530342,4.553350641460718,0.37916666666666665
2021-01-01,2.274349179379054,7.148709963706024,0.10416666666666667
2022-01-01,2.9658097786601667,3.6012066160520773,2.793333333333333
2023-01-01,2.50155311259197,2.419110791225676,5.0808333333333335
